	116	R: forestplot - 2024 - R - Visualization
	117	R: clubSandwich - 2024 - R - Meta-analysis
	118	R: MICE - 2011 - R - Data Extraction
	119	PSPP - 2024 - C - Meta-analysis
	120	Gretl - 2003 - C - Meta-analysis
	121	OSF (Open Science Framework) - 2017 - Python - Workflow
	122	spacy - 2020 - Python - Text Mining
	123	R: tidytext - 2016 - R - Text Mining
	124	R: quanteda - 2018 - R - Text Mining
	125	R: topicmodels - 2011 - R - Text Mining
	126	R: snowballC - 2023 - R - Text Mining
	127	R: udpipe - 2017 - R - Text Mining
	128	Citation.js - 2019 - Javascript - Automation
	129	scikit-learn - 2011 - Python - Text Mining
	130	transformers - 2020 - Python - Text Mining
	131	R: R Markdown - 2018 - R - Workflow
	132	R: bookdown - 2016 - R - Workflow
	133	PDFMiner.six - 2024 - Python - Data Extraction
	134	Gensim - 2010 - Python - Text Mining
	135	Whoosh - 2024 - Python - Search
	136	GPT-Researcher - 2024 - Python - Automation
	137	Taguette - 2021 - Python - Data Extraction
	138	QualCoder - 2024 - Python - Data Extraction
	139	R: RQDA - 2024 - R - Data Extraction
	140	CATMA - 2016 - Java - Data Extraction
	141	ROSES flowchart - 2018 - R - Visualization
	142	RefRandomiser - 2025 - Python - Screening
	143	bibfix - 2021 - R - Automation
	144	greylitsearcher - 2022 - R - Search
	145	metadat - 2024 - R - Meta-analysis
	146	PredicTER - 2019 - R - Manager
	147	sysrevdata - 2018 - R - Data Extraction
	148	Thallo Evidence Mapping - 2024 - TypeScript - Visualization
	149	CiteSource - 2023 - R - Search
	150	metaverse - 2020 - R - Workflow
	151	synthesisr - 2024 - R - Manager
	152	metaDigitise - 2019 - R - Data Extraction
	153	Entrez Direct - 2013 - Python - Search
	154	Rentrez - 2017 - R - Search
	155	Science Parse - 2024 - Java - Data Extraction
	156	AnyStyle - 2023 - Ruby - Data Extraction
	157	Plot Digitizer - 2024 - Java - Data Extraction
	158	KBibTeX - 2024 - C++ - Manager
	159	Wikindx - 2024 - PHP - Manager
	160	MetaInsight - 2019 - R - Meta-analysis
	161	PyMARE - 2025 - Python - Meta-analysis
	162	Jamovi - 2024 - Typescript - Meta-analysis
	163	Meta-CART - 2019 - R - Meta-analysis
	164	EPPI Reviewer - 2023 - C# - Workflow
	165	MetaWin - 2024 - Python - Meta-analysis
	166	Meta-DiSc - 2006 - R - Meta-analysis
	167	SyRF - 2021 - R - Workflow
	168	MetaDTA - 2019 - R - Meta-analysis
	169	DiagMeta - 2016 - R - Meta-analysis
	170	HSROC - 2012 - R - Meta-analysis
	171	Metatron - 2005 - R - Meta-analysis
	172	Kilim Plot / Vitruvian Plot - 2021 - R - Visualization
	173	bamdit - 2019 - R - Meta-analysis
	174	pcnetmeta - 2017 - R - Meta-analysis
	175	mmeta - 2014 - R - Meta-analysis
	176	bspmma - 2012 - R - Meta-analysis
	177	RIMeta - 2023 - R - Meta-analysis
	178	MA-cont - 2022 - R - Meta-analysis
	179	MBNMAdose - 2021 - R - Meta-analysis
	180	DenseReviewer - 2025 - Python - Screening
	181	ASySD - 2023 - R - Manager
	182	RobotSearch - 2018 - Python - Screening
	183	Thoth - 2019 - PHP - Workflow
	184	Paperfetcher - 2022 - Python - Search
	185	PubMed Search Tester - 2020 - Javascript - Search
	186	metapro - 2023 - R - Meta-analysis
	187	SurvdigitizeR - 2024 - R - Data Extraction
	188	CINeMA - 2020 - JavaScript - Risk of Bias
	189	HAWC - 2018 - Python - Manager
	190	metacp - 2025 - Python - Meta-analysis
	191	searchbuildR - 2024 - R - Search
	192	MSE FINDR - 2024 - R - Data Extraction
	193	Auto-STEED - 2024 - R - Data Extraction
	194	Trial2rev - 2019 - Python - Screening
	195	metap - 2024 - R - Meta-analysis
	196	RTSA - 2008 - R - Meta-analysis
	197	mixmeta - 2019 - R - Meta-analysis
	198	rnmamod - 2024 - R - Meta-analysis
	199	baggr - 2026 - R - Meta-analysis
	200	esc - 2019 - R - Data Extraction
	201	metaBMA - 2021 - C++ - Meta-analysis
	202	metasens - 2019 - R - Meta-analysis
	203	bipd - 2024 - R - Meta-analysis
	204	MetaStan - 2020 - C++ - Meta-analysis
	205	MAd - 2014 - R - Meta-analysis
	206	CaMeA - 2023 - R - Meta-analysis
	207	mvtmeta - 2012 - R - Meta-analysis
	208	mc.heterogeneity - 2017 - R - Meta-analysis
	209	searchAnalyzeR - 2025 - R - Search
	210	jarbes - 2019 - R - Meta-analysis
	211	SCMA - 2013 - R - Meta-analysis
	212	rmeta - 2018 - R - Meta-analysis
	213	MVPBT - 2020 - R - Meta-analysis
	214	meta-maive - 2025 - R - Meta-analysis
	215	puniform - 2015 - R - Meta-analysis
	216	bnma - 2023 - R - Meta-analysis
	217	survNMA - 2025 - R - Meta-analysis
	218	viscomp - 2023 - R - Visualization
	219	artma - 2023 - R - Meta-analysis
	220	dmetatools - 2021 - R - Meta-analysis
	221	wildmeta - 2022 - R - Meta-analysis
	222	mvmeta - 2012 - R - Meta-analysis
	223	mars - 2025 - R - Meta-analysis
	224	PINMA - 2023 - R - Meta-analysis
	225	NMADTA - 2023 - R - Meta-analysis
	226	coefa - 2023 - R - Meta-analysis
	227	appraise - 2025 - R - Meta-analysis
	228	metarep - 2023 - R - Meta-analysis
	229	metaquant - 2024 - R - Meta-analysis
	230	heterometa - 2024 - R - Meta-analysis
	231	getspres - 2019 - R - Meta-analysis
	232	rema - 2021 - R - Meta-analysis
	233	vcmeta - 2015 - R - Meta-analysis
	234	crossnma - 2024 - R - Meta-analysis
	235	metapack - 2022 - C++ - Meta-analysis
	236	nmarank - 2022 - R - Meta-analysis
	237	CBnetworkMA - 2024 - C - Meta-analysis
	238	pema - 2023 - C++ - Meta-analysis
	239	altmeta - 2025 - R - Meta-analysis
	240	boutliers - 2020 - R - Meta-analysis
	241	metagroup - 2025 - R - Meta-analysis
	242	nmaplateplot - 2025 - R - Visualization
	243	selectMeta - 2011 - R - Meta-analysis
	244	nmaINLA - 2018 - R - Meta-analysis
	245	MetaNLP - 2025 - R - Meta-analysis
	246	POMADE - 2024 - R - Meta-analysis
	247	publipha - 2023 - C++ - Meta-analysis
	248	OssaNMA - 2023 - R - Meta-analysis
	249	metabup - 2022 - R - Meta-analysis
	250	rankinma - 2024 - R - Meta-analysis
	251	RBesT - 2021 - R - Meta-analysis
	252	detectnorm - 2022 - R - Meta-analysis
	253	multibiasmeta - 2024 - R - Meta-analysis
	254	getmstatistic - 2017 - R - Meta-analysis
	255	NMAforest - 2026 - R - Visualization
	256	MBNMAtime - 2019 - R - Meta-analysis
	257	tracenma - 2025 - R - Meta-analysis
	258	metasplines - 2026 - R - Meta-analysis
	259	metagam - 2021 - R - Meta-analysis
	260	metansue - 2024 - R - Meta-analysis
	261	RoBMA - 2020 - R - Meta-analysis
	262	MetaAnalyser - 2016 - R - Visualization
	263	WMAP - 2025 - R - Meta-analysis
	264	HCT - 2022 - R - Meta-analysis
	265	CRTSize - 2023 - R - Meta-analysis
	266	MCMCglmm - 2010 - R - Meta-analysis
	267	iSFun - 2022 - R - Meta-analysis
	268	LitOrganizer - 2025 - Python - Data Extraction
	269	PROMPTHEUS - 2025 - Python - Automation
	270	LLAssist - 2024 - C# - Automation
	271	EvidenceSynthesis - 2025 - R - Meta-analysis
	272	Scholarly - 2021 - Python - Search
	273	europepmc - 2020 - R - Search
	274	QuickUMLS - 2016 - Python - Data Extraction
	275	SciPDF Parser - 2020 - Python - Data Extraction
	276	Open Knowledge Maps - 2024 - R - Visualization
	277	CorTexT Manager - 2016 - Python - Visualization
